,From,To,Date,Subject,From_Name,To_Name,CurrentEmploymentType_To_List,CurrentEmploymentType_To_Unique,Subject_new,just_date,day,Time_of_day,LastName_From,FirstName_From,BirthDate_From,BirthCountry_From,Gender_From,CitizenshipCountry_From,CitizenshipBasis_From,CitizenshipStartDate_From,PassportCountry_From,PassportIssueDate_From,PassportExpirationDate_From,CurrentEmploymentType_From,CurrentEmploymentTitle_From,CurrentEmploymentStartDate_From,EmailAddress_From,MilitaryServiceBranch_From,MilitaryDischargeType_From,MilitaryDischargeDate_From,CurrentEmploymentType_Original_From,CurrentEmploymentType_To_Unlisted
10,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 10:50:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Alcazar,Lucas,1990-04-17,Tethys,Male,Tethys,BirthNation,1990-04-17,Tethys,2013-01-24,2023-01-23,IT,IT Helpdesk,2010-11-30,Lucas.Alcazar@gastech.com.kronos,,,,Information Technology,IT
11,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-06 11:00:00,RE: Upcoming birthdays,Linnea Bergen,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'], Upcoming birthdays,2014-01-06,6,Working hours (9-5),Bergen,Linnea,1969-07-10,Tethys,Female,Tethys,BirthNation,1969-07-10,Tethys,2004-04-29,2014-04-28,IT,IT Group Manager,2004-07-04,Linnea.Bergen@gastech.com.kronos,,,,Information Technology,Not unique department
12,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2014-01-06 11:04:00,Plants,Loreto Bodrogi,['Barranco Ingrid'],['Executive'],['Executive'],Plants,2014-01-06,6,Working hours (9-5),Bodrogi,Loreto,1989-04-17,Kronos,Male,Kronos,BirthNation,1989-04-17,,,,Security,Site Control,2013-08-17,Loreto.Bodrogi@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2008-10-01,Security,Executive
13,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-06 11:16:00,RE: Upcoming birthdays,Linnea Bergen,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'], Upcoming birthdays,2014-01-06,6,Working hours (9-5),Bergen,Linnea,1969-07-10,Tethys,Female,Tethys,BirthNation,1969-07-10,Tethys,2004-04-29,2014-04-28,IT,IT Group Manager,2004-07-04,Linnea.Bergen@gastech.com.kronos,,,,Information Technology,Not unique department
14,Lucas.Alcazar@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos",2014-01-06 11:23:00,GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Calixto Nils', 'Flecha Sven']","['IT', 'IT']",['IT'],GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Alcazar,Lucas,1990-04-17,Tethys,Male,Tethys,BirthNation,1990-04-17,Tethys,2013-01-24,2023-01-23,IT,IT Helpdesk,2010-11-30,Lucas.Alcazar@gastech.com.kronos,,,,Information Technology,IT
15,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 11:34:00,RE: GT-SeismicProcessorPro Bug Report,Isak Baza,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Baza,Isak,1979-02-12,Tethys,Male,Tethys,BirthNation,1979-02-12,Tethys,2008-08-13,2018-08-12,IT,IT Technician,2002-03-20,Isak.Baza@gastech.com.kronos,,,,Information Technology,IT
16,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 11:40:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Alcazar,Lucas,1990-04-17,Tethys,Male,Tethys,BirthNation,1990-04-17,Tethys,2013-01-24,2023-01-23,IT,IT Helpdesk,2010-11-30,Lucas.Alcazar@gastech.com.kronos,,,,Information Technology,IT
17,Sten.SanjorgeJr.@gastech.com.tethys,"Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos",2014-01-06 11:53:00,IPO,Sten SanjorgeJr ,"['Strum Orhan', 'Vasco-Pais Willem']","['Executive', 'Executive']",['Executive'],IPO,2014-01-06,6,Working hours (9-5),Sanjorge Jr.,Sten,1948-08-29,Tethys,Male,Tethys,BirthNation,1948-08-29,Tethys,2013-04-21,2023-04-20,Executive,President/CEO,1990-11-09,Sten.SanjorgeJr.@gastech.com.tethys,,,,Executive,Executive
18,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos",2014-01-06 12:05:00,Craft night,Mat Bramar,"['Bramar Mat', 'Ribera Anda', 'Pantanal Rachel', 'Lagos Linda', 'Mies Haber Ruscella', 'Forluniau Carla', 'Lais Cornelia']","['Executive', 'Executive', 'Executive', 'Executive', 'Engineering', 'IT', 'Security']",['Executive' 'Engineering' 'IT' 'Security'],Craft night,2014-01-06,6,Working hours (9-5),Bramar,Mat,1981-12-19,Tethys,Male,Tethys,BirthNation,1981-12-19,Tethys,2007-12-12,2017-12-11,Executive,Assistant to CEO,2005-07-01,Mat.Bramar@gastech.com.kronos,,,,Administration,Not unique department
19,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-06 12:05:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT-SeismicProcessorPro Bug Report,2014-01-06,6,Working hours (9-5),Alcazar,Lucas,1990-04-17,Tethys,Male,Tethys,BirthNation,1990-04-17,Tethys,2013-01-24,2023-01-23,IT,IT Helpdesk,2010-11-30,Lucas.Alcazar@gastech.com.kronos,,,,Information Technology,IT
20,Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,2014-01-06 12:15:00,RE: Plants,Ingrid Barranco,['Bodrogi Loreto'],['Security'],['Security'], Plants,2014-01-06,6,Working hours (9-5),Barranco,Ingrid,1961-10-26,Tethys,Female,Tethys,BirthNation,1961-10-26,Tethys,2013-07-01,2023-06-30,Executive,SVP/CFO,2003-09-30,Ingrid.Barranco@gastech.com.kronos,,,,Executive,Security
21,Axel.Calzas@gastech.com.kronos,"Felix.Balas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Vira.Frente@gastech.com.kronos",2014-01-06 12:15:00,Wellhead flow rate data,Axel Calzas,"['Balas Felix', 'Azada Lars', 'Orilla Elsa', 'Frente Birgitta', 'Orilla Kare', 'Borrasca Isande', 'Cazar Gustav', 'Calzas Axel', 'Frente Vira']","['Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering']",['Engineering'],Wellhead flow rate data,2014-01-06,6,Working hours (9-5),Calzas,Axel,1975-09-13,Tethys,Male,Tethys,BirthNation,1975-09-13,Tethys,2012-01-31,2022-01-30,Engineering,Drill Technician,1997-07-17,Axel.Calzas@gastech.com.kronos,,,,Engineering,Engineering
22,Lars.Azada@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos",2014-01-06 12:21:00,RE: Wellhead flow rate data,Lars Azada,"['Frente Birgitta', 'Azada Lars', 'Balas Felix']","['Engineering', 'Engineering', 'Engineering']",['Engineering'], Wellhead flow rate data,2014-01-06,6,Working hours (9-5),Azada,Lars,1973-04-30,Tethys,Male,Tethys,BirthNation,1973-04-30,Tethys,2011-06-01,2021-05-31,Engineering,Engineer,1995-12-01,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,1995-10-01,Engineering,Engineering
23,Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,2014-01-06 12:28:00,RE: Service anniversary,Stenig Fusil,['Strum Orhan'],['Executive'],['Executive'], Service anniversary,2014-01-06,6,Working hours (9-5),Fusil,Stenig,1963-04-29,Tethys,Male,Tethys,BirthNation,1963-04-29,Tethys,2006-04-03,2016-04-02,Security,Building Control,2004-02-05,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1987-10-01,Security,Executive
24,Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,2014-01-06 12:28:00,RE: Service anniversary,Orhan Strum,['Fusil Stenig'],['Security'],['Security'], Service anniversary,2014-01-06,6,Working hours (9-5),Strum,Orhan,1963-10-18,Asteria,Male,Tethys,ParentCitizenship,1963-10-18,Tethys,2011-06-02,2021-06-01,Executive,SVP/COO,2003-08-07,Orhan.Strum@gastech.com.kronos,,,,Executive,Security
25,Albina.Hafon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Emile.Arpa@gastech.com.kronos",2014-01-06 12:30:00,RE: New refueling policies - Effective February 1,Albina Hafon,"['Coginian Dante', 'Nant Irene', 'Scozzese Dylan', 'Hawelon Benito', 'Morlun Valeria', 'Morlun Adan', 'Arpa Emile']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-06,6,Working hours (9-5),Hafon,Albina,1987-06-14,Kronos,Female,Kronos,BirthNation,1987-06-14,,,,Facilities,Truck Driver,2009-09-12,Albina.Hafon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2007-10-01,Facilities,Facilities
